video_id	video_title	music_title
fPlYYAbX54g	アンドロイドガール - DECO*27(Cover) / 綺羅星ウタ【歌ってみた】	アンドロイドガール
MVywr2nkyWI	星間飛行 (cover) / 綺羅星ウタ【歌ってみた】TVアニメ『マクロスF』オープニングテーマ	星間飛行
aWRVqjUb9VM	「海の幽霊」Spirits of the Sea / 米津玄師  - covered by 綺羅星ウタ【歌ってみた】映画「海獣の子供」主題歌	海の幽霊
MQHdy5KSHkM	‪ロキ/歌ってみた(cover.)【綺羅星ウタ×射貫まとい】‬	‪ロキ
7K08VLwM-yI	だから僕は音楽を辞めた /ヨルシカ【Covered by 綺羅星ウタ】	だから僕は音楽を辞めた
X5DtkSSx_pk	【一緒に！】青空のラプソディ ／綺羅星ウタ【行こう♡】歌ってみた	青空のラプソディ
hBOwQwaJ_fs	【わがまま聞いて？】ワールドイズマイン ／綺羅星ウタ【今すぐによ♡】歌ってみた	ワールドイズマイン
l_1z20GYa88	【ヨルシカ】ヒッチコック/ver.綺羅星ウタ【歌ってみた】	ヒッチコック
hEKezwdthjc	【歪んだ女が】スクランブル交際 ／綺羅星ウタ【愛を突いて歌ってみた】	スクランブル交際
q3YqkY9Erc4	【やっと好きって言えたVtuberが】さよならメモリーズ／綺羅星ウタ【歌ってみた】	さよならメモリーズ
Qs4x4Ko4rAY	【獅子神レオナ＆綺羅星ウタ】　再教育　【歌ってみた】	再教育
Irub5EtKgtA	【ねぇ〇〇してくれる？///】おねがいダーリン／綺羅星ウタ【歌ってみた】	おねがいダーリン
fnWO7cv8YuQ	【メンヘラ女が】乙女解剖／綺羅星ウタ【原キーで歌ってみた】	乙女解剖
4PiKmy6nFJo	ヒバナ／DECO*27（Cover by 綺羅星ウタ）【歌ってみた】	ヒバナ
aOrvFU7OCRE	ベノム / かいりきベア（Cover by 綺羅星ウタ）【歌ってみた】	ベノム
i23gojoUB9g	ジグソーパズル/綺羅星ウタ【歌ってみた】	ジグソーパズル
ObE94rXhv18	【女性が歌う】back number / クリスマスソング（Cover by 綺羅星ウタ）【vtuber】	クリスマスソング
mhoCEhPIou8	愛言葉Ⅲ - DECO*27(Cover) / 綺羅星ウタ【歌ってみた】	愛言葉Ⅲ
4Z_vNfSZ7iQ	【女性が歌う】そっけない/RADWIMPS(Covered by 綺羅星ウタ)	そっけない
0na5fceNslU	【艦これOP】海色(みいろ) 歌ってみた ver.綺羅星ウタ	海色(みいろ)
ckbIK9sqs98	太陽系デスコ / ナユタン星人(cover) - 綺羅星ウタ【歌ってみた】	太陽系デスコ
5t8H3A8bsAQ	【歌ってみた】夜明けと蛍 ／ヨルシカ【cover by 綺羅星ウタ(vtuber)】	夜明けと蛍
YaTAFzxuF40	Hello,Morning／綺羅星ウタver.【歌ってみた】	Hello,Morning
24bwcvdWRUU	私、アイドル宣言 ／CHiCO with HoneyWorks【歌ってみた】ver.綺羅星ウタ	私、アイドル宣言
QEXbMZ-k9Ck	【Kagayaki Stars】セツナトリップ／綺羅星ウタ【歌ってみた】	セツナトリップ
QNFOmFKQms8	【歌コラボ】一度だけの恋なら - ワルキューレ(マクロスΔOP) covered by 星乃めあ × 琴みゆり【歌ってみた】	一度だけの恋なら
a3181Gzf7aI	【歌ってみた】Wherever you are - ONE OK ROCK Coverd by 琴みゆり【生誕記念】	Wherever you are
Y_p4OaN_yQU	【歌ってみた】ECHO - Crusher-P / Covered by 琴みゆり	ECHO
Q3pDqOBX3OQ	【歌ってみた】アンドロイドガール - DECO*27/Covered by 琴みゆり	アンドロイドガール
13ekr2dTZiE	【歌ってみた】SnowFairyStory - 40mP  Coverd by 琴みゆり【クリスマス】	SnowFairyStory
5h5Xt9uLnR4	【アズールレーン】『光の道標』/鹿乃　(coverd by 琴みゆり)	光の道標
VrtHiCIqeys	ASCA 『RESISTER』(ソードアート・オンライン アリシゼーション OPテーマ)【歌ってみた】	RESISTER
xtY6Na5qID8	【SAO】LiSA『Catch the Moment』歌ってみた by 琴みゆり 【劇場版/主題歌/Cover】	Catch the Moment
lD_X-5bffsI	【歌ってみた】DECO*27 - 夜行性ハイズ（cover）琴みゆり【vtuber】	夜行性ハイズ
ntaOucZv4z8	LiSA 『ADAMAS』- (Full) ソードアート・オンライン アリシゼーション OP 【covered by 琴みゆり】	ADAMAS
cEZ23zApOfc	『少女レイ』／みきとP（covered by 琴みゆり）【歌ってみた】	少女レイ
GzLcZrj8ZHg	【女性が歌う】ドラマツルギー/Eve (+1キー)by 琴みゆり【歌ってみた】	ドラマツルギー
0LzZX_gccLA	『青空のラプソディ』／fhána（covered by 琴みゆり）【小林さんちのメイドラゴン OP】【歌ってみた】	青空のラプソディ
3c0hB3D3LoA	『oath sign』／LiSA（covered by 琴みゆり）【Fate/Zero OP】【歌ってみた】	oath sign
IRJ0LTQLj70	シャルル／琴みゆり【歌ってみた】	シャルル
gi2eAsbMzfA	【コラボ】「からくりピエロ」歌ってみた【#朝ノ瑠璃 × #琴みゆり】【再投稿】	からくりピエロ
Evcp_8zzyZM	【米津玄師】「海の幽霊」Spirits of the Sea 琴みゆり cover【映画『海獣の子供』主題歌】	海の幽霊
QJAte_EbFdc	『ハッピーシンセサイザ』／covered by 琴みゆり＆射貫まとい【歌ってみた】	ハッピーシンセサイザ
eSbQb66IRGg	エイリアンエイリアン 歌ってみた - 琴みゆり＆丑牡てぃあ【ナユタン星人】	エイリアンエイリアン
9H-hp_9uoXI	『恋』／琴みゆり【歌ってみた】	恋
fwl7DxDck5E	Hello, Morning／琴みゆりver【歌ってみた】	Hello, Morning
8Bq0aoOQ6fw	【コラボ】革命デュアリズム - 水樹奈々✕T.M.Revolution 歌ってみた【唯牙コハク × 琴みゆり】	革命デュアリズム
